id,__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
299,run_298_repetition_0,TODO,TwistStamped,0.2,3,120,1
300,run_299_repetition_0,TODO,TwistStamped,0.2,3,120,2
301,run_300_repetition_0,TODO,TwistStamped,0.5,1,120,1
302,run_301_repetition_0,TODO,TwistStamped,0.5,1,120,2
303,run_302_repetition_0,TODO,TwistStamped,0.5,2,120,1
304,run_303_repetition_0,TODO,TwistStamped,0.5,2,120,2
305,run_304_repetition_0,TODO,TwistStamped,0.5,3,120,1
306,run_305_repetition_0,TODO,TwistStamped,0.5,3,120,2
307,run_306_repetition_0,TODO,TwistStamped,1.0,1,120,1
308,run_307_repetition_0,TODO,TwistStamped,1.0,1,120,2
309,run_308_repetition_0,TODO,TwistStamped,1.0,2,120,1
310,run_309_repetition_0,TODO,TwistStamped,1.0,2,120,2
311,run_310_repetition_0,TODO,TwistStamped,1.0,3,120,1
312,run_311_repetition_0,TODO,TwistStamped,1.0,3,120,2
313,run_312_repetition_0,DONE,PoseWithCovarianceStamped,0.1,1,120,1
314,run_313_repetition_0,DONE,PoseWithCovarianceStamped,0.1,1,120,2
315,run_314_repetition_0,DONE,PoseWithCovarianceStamped,0.1,2,120,1
316,run_315_repetition_0,DONE,PoseWithCovarianceStamped,0.1,2,120,2
317,run_316_repetition_0,DONE,PoseWithCovarianceStamped,0.1,3,120,1
318,run_317_repetition_0,DONE,PoseWithCovarianceStamped,0.1,3,120,2
319,run_318_repetition_0,DONE,PoseWithCovarianceStamped,0.2,1,120,1
320,run_319_repetition_0,DONE,PoseWithCovarianceStamped,0.2,1,120,2
321,run_320_repetition_0,DONE,PoseWithCovarianceStamped,0.2,2,120,1
322,run_321_repetition_0,DONE,PoseWithCovarianceStamped,0.2,2,120,2
323,run_322_repetition_0,DONE,PoseWithCovarianceStamped,0.2,3,120,1
324,run_323_repetition_0,DONE,PoseWithCovarianceStamped,0.2,3,120,2
325,run_324_repetition_0,DONE,PoseWithCovarianceStamped,0.5,1,120,1
326,run_325_repetition_0,DONE,PoseWithCovarianceStamped,0.5,1,120,2
327,run_326_repetition_0,DONE,PoseWithCovarianceStamped,0.5,2,120,1
